Id;folk_type;name;members_count;total_posts_count;total_likes;total_comments;total_reposts;total_views;avg_posts_count;avg_likes;avg_comments;avg_reposts;avg_views;non_admin_posts;admin_posts
9239445;ханты;Ханты и Манси / Хăнты па Мāньщи;1451;88;678;19;127;23338;7;52;1;10;1795;15;73
29508524;ханты;Ханты, Манси и Лесные Ненцы. ХМАО-Югры;2218;1950;12639;666;1696;414359;150;972;51;130;31874;59;1891
48315919;ханты;Шурышкары;790;32;147;4;50;19844;3;15;0;5;1984;0;32
49481173;ханты;Я люблю хантыйский язык;1515;654;6778;338;994;202186;50;521;26;76;15553;0;654
80547963;ханты;ковчег ханты;583;57;41;14;7;;5;3;1;1;;57;0
96479998;ханты;Традиционная культура хантов и манси;340;72;232;2;85;8878;6;18;0;7;683;0;72
106097095;ханты;Молодые герои;482;183;3183;0;643;96179;15;265;0;54;8015;0;183
143613888;ханты;Дневних ХАНТА™;1282;49;1866;84;93;77579;4;170;8;8;7053;0;49
147338576;ханты;"Община ""Хунзи""";137;196;489;28;42;7658;15;38;2;3;589;0;196
160896507;ханты;"""ЛУХ АВТ"" - газета на ханты языке";760;487;9193;374;746;265407;37;707;29;57;20416;0;487
161818002;ханты;Центр культурного наследия ханты им. В. Волдина;143;33;188;2;40;4050;3;17;0;4;368;0;33
164279613;ханты;"Семейный ханты инструментальный ансамбль ""Наковы";71;351;224;6;19;6796;25;16;0;1;485;0;351
171580956;ханты;Ханты Манси Мир | Ханты ясанг | Луима сэрипос;1359;984;17306;650;1931;474895;76;1331;50;149;36530;0;984
176815770;ханты;Большая культура малых народов;914;28;893;40;126;24935;3;89;4;13;2494;0;28
179198801;ханты;Угры - ханты,манси,венгры.;151;4288;2986;59;525;61301;330;230;5;40;4715;12;4276
191522875;ханты;Зимнее Алешкино;104;39;248;6;34;8364;4;23;1;3;760;0;39
197747704;ханты;Ма яснем - родное слово;174;115;2834;222;218;55717;10;258;20;20;5065;0;115
312279;КМНС;Коренные малочисленные народы Севера;1878;59;66;7;23;4379;5;5;1;2;438;27;32
1778360;КМНС;СОЮЗ  финно-угорской молодежи г.Москвы.;360;;;;;;;;;;;;
5712076;КМНС;Малые Народы России;816;24;2;1;1;;2;0;0;0;;24;0
9328759;КМНС;<*><*>МОЛОДЕЖЬ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ Се;456;17;21;8;0;;2;3;1;0;;17;0
14400707;КМНС;۞ Центр коренных народов Ленинградской области;6656;277;7747;274;1521;228947;21;596;21;117;17611;101;176
