Source;Target;Weight
9239445;29508524;492
9239445;48315919;20
9239445;49481173;343
9239445;80547963;3
9239445;96479998;82
9239445;143613888;190
9239445;147338576;30
9239445;160896507;138
9239445;161818002;58
9239445;164279613;21
9239445;171580956;251
9239445;176815770;94
9239445;179198801;52
9239445;197747704;39
9239445;312279;169
9239445;1778360;27
9239445;5712076;55
9239445;9328759;68
9239445;14400707;76
9239445;27950389;152
9239445;63609960;31
9239445;72178198;269
9239445;75583218;355
9239445;103010015;189
9239445;103379558;109
9239445;129790404;200
9239445;152993915;227
9239445;166544315;109
9239445;170727546;24
9239445;176415008;11
9239445;5682634;15
9239445;50134387;2
9239445;53335568;1
9239445;54394844;9
9239445;59074810;6
9239445;100001853;1
9239445;174867784;1
9239445;192783;70
9239445;390921;5
9239445;1050442;19
9239445;1175357;8
9239445;3024203;41
9239445;5727112;5
9239445;10082644;11
9239445;11857067;7
9239445;15162325;62
9239445;25022899;1
9239445;25641591;11
9239445;31081467;4
9239445;40611359;21
9239445;44930663;20
9239445;54326264;11
9239445;67112610;1
9239445;92453132;8
9239445;96338204;2
9239445;111970057;28
9239445;113955160;4
9239445;133193922;1
9239445;136958815;4
9239445;170565181;1
9239445;174932144;3
9239445;179677286;1
9239445;202643958;3
9239445;206541231;1
29508524;48315919;22
29508524;49481173;308
29508524;80547963;7
29508524;96479998;80
29508524;143613888;381
29508524;147338576;44
29508524;160896507;134
29508524;161818002;57
29508524;164279613;21
29508524;171580956;432
29508524;176815770;137
29508524;179198801;74
29508524;191522875;1
29508524;197747704;40
29508524;312279;207
29508524;1778360;18
29508524;5712076;49
29508524;9328759;50
29508524;14400707;58
29508524;27950389;220
29508524;63609960;41
29508524;72178198;386
29508524;75583218;791
29508524;103010015;285
29508524;103379558;140
29508524;129790404;379
29508524;152993915;407
29508524;166544315;190
29508524;170727546;27
29508524;176415008;13
29508524;192561452;2
29508524;5682634;16
29508524;50134387;2
29508524;53335568;2
29508524;54394844;12
29508524;59074810;8
29508524;100001853;1
29508524;174867784;3
29508524;192783;43
29508524;390921;8
29508524;1050442;16
29508524;1175357;4
29508524;3024203;37
29508524;5727112;5
29508524;10082644;5
29508524;11857067;7
29508524;15162325;52
29508524;25641591;4
29508524;31081467;4
29508524;40611359;17
29508524;44930663;20
29508524;54326264;7
29508524;67112610;1
29508524;92453132;5
29508524;111970057;18
29508524;113955160;3
29508524;133193922;1
29508524;136958815;4
29508524;170565181;1
29508524;174932144;4
29508524;202643958;3
48315919;49481173;78
48315919;96479998;4
48315919;143613888;11
48315919;147338576;3
48315919;160896507;66
48315919;161818002;2
48315919;164279613;6
48315919;171580956;12
48315919;176815770;12
48315919;179198801;4
48315919;197747704;17
48315919;312279;4
48315919;14400707;1
48315919;27950389;9
48315919;63609960;1
48315919;72178198;33
48315919;75583218;15
48315919;103010015;8
48315919;103379558;17
48315919;129790404;81
48315919;152993915;93
48315919;166544315;10
48315919;170727546;1
48315919;192561452;1
48315919;54394844;1
49481173;80547963;4
49481173;96479998;54
49481173;143613888;162
49481173;147338576;37
49481173;160896507;290
49481173;161818002;54
49481173;164279613;41
49481173;171580956;237
49481173;176815770;96
49481173;179198801;53
49481173;197747704;79
49481173;312279;104
49481173;1778360;13
49481173;5712076;26
49481173;9328759;33
49481173;14400707;55
49481173;27950389;133
49481173;63609960;34
49481173;72178198;300
49481173;75583218;294
49481173;103010015;164
49481173;103379558;119
49481173;129790404;323
49481173;152993915;373
49481173;166544315;104
49481173;170727546;19
49481173;176415008;13
49481173;5682634;7
49481173;50134387;1
49481173;53335568;1
49481173;54394844;10
49481173;59074810;9
49481173;100001853;1
49481173;174867784;1
49481173;192783;43
49481173;390921;2
49481173;1050442;7
49481173;1175357;2
49481173;3024203;32
49481173;5727112;3
49481173;10082644;9
49481173;11857067;2
49481173;15162325;36
49481173;25641591;4
49481173;31081467;2
49481173;40611359;19
49481173;44930663;18
49481173;54326264;8
49481173;64423041;2
49481173;67112610;1
49481173;92453132;6
49481173;96338204;2
49481173;111970057;30
49481173;113955160;1
49481173;133193922;1
49481173;170565181;2
49481173;174932144;3
49481173;194794224;1
49481173;202643958;2
80547963;106097095;1
80547963;143613888;2
80547963;147338576;1
80547963;160896507;1
80547963;171580956;6
80547963;176815770;2
80547963;197747704;1
80547963;27950389;1
80547963;72178198;1
80547963;75583218;2
80547963;103010015;2
80547963;152993915;1
96479998;143613888;31
96479998;147338576;9
96479998;160896507;26
96479998;161818002;23
96479998;164279613;6
96479998;171580956;60
96479998;176815770;34
96479998;179198801;22
96479998;197747704;10
96479998;312279;19
96479998;1778360;2
96479998;5712076;6
96479998;9328759;6
96479998;14400707;12
96479998;27950389;26
96479998;63609960;3
96479998;72178198;43
96479998;75583218;51
96479998;103010015;45
96479998;103379558;16
96479998;129790404;29
96479998;152993915;46
96479998;166544315;20
96479998;170727546;17
96479998;176415008;3
96479998;192561452;1
96479998;5682634;1
96479998;50134387;1
96479998;54394844;2
96479998;59074810;1
96479998;100001853;1
96479998;192783;6
96479998;390921;2
96479998;1050442;2
96479998;3024203;4
96479998;15162325;4
96479998;25641591;1
96479998;40611359;2
96479998;44930663;5
96479998;92453132;1
96479998;111970057;2
96479998;133193922;1
96479998;174932144;2
106097095;160896507;1
106097095;161818002;1
